"DR2HELP.Code.or.Value","DR2HELP.Value.Description","DR2HELP.Count","DR2HELP.Cumulative","DR2HELP.Skip.to.Item"
"1","SP",215,215,NA
"4","Parent of SP",197,412,NA
"5","Spouse of SP",68,480,NA
"6","Child of SP",14,494,NA
"7","Grandparent of SP",4,498,NA
"8","Friend, Partner, Non Relative",3,501,NA
"9","Translator, not a HH member",0,501,NA
"10","Child care provider, Caretaker",1,502,NA
"11","Other Relative",9,511,NA
"12","No One",6128,6639,NA
"77","Refused",0,6639,NA
"99","Don't know",0,6639,NA
".","Missing",2065,8704,NA
