"DR1HELPD.Code.or.Value","DR1HELPD.Value.Description","DR1HELPD.Count","DR1HELPD.Cumulative","DR1HELPD.Skip.to.Item"
"1","SP",859,859,NA
"2","Mother of SP",385,1244,NA
"3","Father of SP",139,1383,NA
"4","Wife of SP",5,1388,NA
"5","Husband of SP",4,1392,NA
"6","Daughter of SP",19,1411,NA
"7","Son of SP",5,1416,NA
"8","Grandparent of SP",16,1432,NA
"9","Friend, Partner, Non Relative",1,1433,NA
"10","Translator, not a HH member",32,1465,NA
"11","Child care provider, Caretaker",4,1469,NA
"12","Other Relative",25,1494,NA
"13","No one",8253,9747,NA
"14","Other specify",1,9748,NA
"77","Refused",0,9748,NA
"99","Don't know",0,9748,NA
".","Missing",505,10253,NA
