"DSD122U.Code.or.Value","DSD122U.Value.Description","DSD122U.Count","DSD122U.Cumulative","DSD122U.Skip.to.Item"
"1","TABLETS, CAPSULES, PILLS, CAPLETS, SOFTGELS, GEL CAPS, VEGICAPS, CHEWABLE TABLETS",7621,7621,NA
"2","Droppers",14,7635,NA
"3","Drops",22,7657,NA
"5","Injections/shots",0,7657,NA
"6","LOZENGES/COUGH DROPS",30,7687,NA
"7","Milliliters",129,7816,NA
"11","Tablespoons",37,7853,NA
"12","Teaspoons",145,7998,NA
"13","Wafers",11,8009,NA
"15","Cans",0,8009,NA
"16","Grams",21,8030,NA
"17","Dots",0,8030,NA
"18","Cups",0,8030,NA
"19","Sprays/Squirts",4,8034,NA
"20","CHEWS/GUMMIES",1221,9255,NA
"21","Scoop",61,9316,NA
"22","CC",0,9316,NA
"23","Capful",16,9332,NA
"27","Ounces",9,9341,NA
"28","Packages/Packets",110,9451,NA
"29","Vial",2,9453,NA
"30","Gumball",0,9453,NA
"31","Strips",0,9453,NA
"32","Bottle",2,9455,NA
"77","Refused",0,9455,NA
"99","Don't Know",9,9464,NA
".","Missing",95,9559,NA
