"FFQ0061.Code.or.Value","FFQ0061.Value.Description","FFQ0061.Count","FFQ0061.Cumulative","FFQ0061.Skip.to.Item"
1,"never",837,837,NA
2,"1-6 times per year",1185,2022,NA
3,"7-11 times per year",773,2795,NA
4,"1 time per month",901,3696,NA
5,"2-3 times per month",1334,5030,NA
6,"1 time per week",570,5600,NA
7,"2 times per week",434,6034,NA
8,"3-4 times per week",214,6248,NA
9,"5-6 times per week",53,6301,NA
10,"1 time per day",32,6333,NA
11,"2 or more times per day",32,6365,NA
88,"Blank",75,6440,NA
99,"Error",32,6472,NA
