"FFQ0043B.Code.or.Value","FFQ0043B.Value.Description","FFQ0043B.Count","FFQ0043B.Cumulative","FFQ0043B.Skip.to.Item"
1,"never",802,802,NA
2,"1-6 times per year",884,1686,NA
3,"7-11 times per year",295,1981,NA
4,"1 time per month",375,2356,NA
5,"2-3 times per month",341,2697,NA
6,"1 time per week",204,2901,NA
7,"2 times per week",106,3007,NA
8,"3-4 times per week",35,3042,NA
9,"5-6 times per week",6,3048,NA
10,"1 time per day",7,3055,NA
11,"2 or more times per day",3,3058,NA
88,"Blank",2934,5992,NA
99,"Error",21,6013,NA
