"FFQ0051.Code.or.Value","FFQ0051.Value.Description","FFQ0051.Count","FFQ0051.Cumulative","FFQ0051.Skip.to.Item"
1,"never",918,918,NA
2,"1-6 times per year",499,1417,NA
3,"7-11 times per year",313,1730,NA
4,"1 time per month",355,2085,NA
5,"2-3 times per month",890,2975,NA
6,"1 time per week",705,3680,NA
7,"2 times per week",821,4501,NA
8,"3-4 times per week",807,5308,NA
9,"5-6 times per week",323,5631,NA
10,"1 time per day",181,5812,NA
11,"2 or more times per day",78,5890,NA
88,"Blank",110,6000,NA
99,"Error",13,6013,NA
