"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",395,395,NA
"2","$400 - $799",588,983,NA
"3","$800 - $1249",1097,2080,NA
"4","$1250 - $1649",776,2856,NA
"5","$1650 - $2099",878,3734,NA
"6","$2100 - $2899",830,4564,NA
"7","$2900 - $3749",937,5501,NA
"8","$3750 - $4599",747,6248,NA
"9","$4600 - $5399",404,6652,NA
"10","$5400 - $6249",390,7042,NA
"11","$6250 - $8399",604,7646,NA
"12","$8400 and over",944,8590,NA
"77","Refused",233,8823,NA
"99","Don't know",606,9429,NA
".","Missing",327,9756,NA
