"INQ320.Code.or.Value","INQ320.Value.Description","INQ320.Count","INQ320.Cumulative","INQ320.Skip.to.Item"
"1","In my car",7478,7478,NA
"2","In a car that belongs to someone I live with",527,8005,NA
"3","In a car that belongs to someone who lives elsewhere",331,8336,NA
"4","Walk",189,8525,NA
"5","Ride bicycle",12,8537,NA
"6","Bus, subway or other public transit",96,8633,NA
"7","Taxi or other paid driver",66,8699,NA
"8","Someone else delivers groceries",32,8731,NA
"9","Other",31,8762,NA
"66","No usual mode of traveling to store",2,8764,NA
"77","Refused",16,8780,NA
"99","Don't know",0,8780,NA
".","Missing",474,9254,NA
