"MCQ230A.Code.or.Value","MCQ230A.Value.Description","MCQ230A.Count","MCQ230A.Cumulative","MCQ230A.Skip.to.Item"
"9","9",1,1,""
"10","Bladder",6,7,""
"11","Blood",1,8,""
"12","Bone",1,9,""
"13","Brain",2,11,""
"14","Breast",76,87,""
"15","Cervix (cervical)",41,128,""
"16","Colon",22,150,""
"17","Esophagus (esophageal)",1,151,""
"18","Gallbladder",0,151,""
"19","Kidney",4,155,""
"20","Larynx/ windpipe",2,157,""
"21","Leukemia",0,157,""
"22","Liver",1,158,""
"23","Lung",11,169,""
"24","Lymphoma/Hodgkin's disease",9,178,""
"25","Melanoma",24,202,""
"26","Mouth/tongue/lip",3,205,""
"27","Nervous system",0,205,""
"28","Ovary (ovarian)",4,209,""
"29","Pancreas (pancreatic)",0,209,""
"30","Prostate",54,263,""
"31","Rectum (rectal)",2,265,""
"32","Skin (non-melanoma)",73,338,""
"33","Skin (don't know what kind)",30,368,""
"34","Soft tissue (muscle or fat)",1,369,""
"35","Stomach",3,372,""
"36","Testis (testicular)",1,373,""
"37","Thyroid",8,381,""
"38","Uterus (uterine)",17,398,""
"39","Other",12,410,""
"66","More than 3 kinds",0,410,""
"77","Refused",0,410,""
"99","Don't know",4,414,"MCQ240DK"
".","Missing",9408,9822,""
