"MCQ230a.Code.or.Value","MCQ230a.Value.Description","MCQ230a.Count","MCQ230a.Cumulative","MCQ230a.Skip.to.Item"
"10","Bladder",8,8,NA
"11","Blood",4,12,NA
"12","Bone",0,12,NA
"13","Brain",3,15,NA
"14","Breast",95,110,NA
"15","Cervix (cervical)",35,145,NA
"16","Colon",24,169,NA
"17","Esophagus (esophageal)",1,170,NA
"18","Gallbladder",0,170,NA
"19","Kidney",11,181,NA
"20","Larynx/ windpipe",4,185,NA
"21","Leukemia",4,189,NA
"22","Liver",4,193,NA
"23","Lung",16,209,NA
"24","Lymphoma/ Hodgkin's disease",10,219,NA
"25","Melanoma",38,257,NA
"26","Mouth/tongue/lip",4,261,NA
"27","Nervous system",0,261,NA
"28","Ovary (ovarian)",7,268,NA
"29","Pancreas (pancreatic)",2,270,NA
"30","Prostate",65,335,NA
"31","Rectum (rectal)",1,336,NA
"32","Skin (non-melanoma)",98,434,NA
"33","Skin (don't know what kind)",47,481,NA
"34","Soft tissue (muscle or fat)",3,484,NA
"35","Stomach",3,487,NA
"36","Testis (testicular)",3,490,NA
"37","Thyroid",11,501,NA
"38","Uterus (uterine)",16,517,NA
"39","Other",26,543,NA
"66","More than 3 kinds",0,543,NA
"77","Refused",0,543,NA
"99","Don't know",4,547,NA
".","Missing",9223,9770,NA
