"MCQ230b.Code.or.Value","MCQ230b.Value.Description","MCQ230b.Count","MCQ230b.Cumulative","MCQ230b.Skip.to.Item"
"10","Bladder",3,3,NA
"11","Blood",0,3,NA
"12","Bone",2,5,NA
"13","Brain",1,6,NA
"14","Breast",9,15,NA
"15","Cervix (cervical)",0,15,NA
"16","Colon",6,21,NA
"17","Esophagus (esophageal)",0,21,NA
"18","Gallbladder",0,21,NA
"19","Kidney",2,23,NA
"20","Larynx/ windpipe",1,24,NA
"21","Leukemia",1,25,NA
"22","Liver",1,26,NA
"23","Lung",0,26,NA
"24","Lymphoma/ Hodgkins disease",1,27,NA
"25","Melanoma",4,31,NA
"26","Mouth/tongue/lip",1,32,NA
"27","Nervous system",0,32,NA
"28","Ovary (ovarian)",2,34,NA
"29","Pancreas (pancreatic)",0,34,NA
"30","Prostate",5,39,NA
"31","Rectum (rectal)",4,43,NA
"32","Skin (non-melanoma)",4,47,NA
"33","Skin (don't know what kind)",8,55,NA
"34","Soft tissue (muscle or fat)",0,55,NA
"35","Stomach",0,55,NA
"36","Testis (testicular)",0,55,NA
"37","Thyroid",3,58,NA
"38","Uterus (uterine)",2,60,NA
"39","Other",4,64,NA
"66","More than 3 kinds",0,64,NA
"77","Refused",0,64,NA
"99","Don't know",0,64,NA
".","Missing",8833,8897,NA
