"OCD392.Code.or.Value","OCD392.Value.Description","OCD392.Count","OCD392.Cumulative","OCD392.Skip.to.Item"
"1","Management Occupations",257,257,NA
"2","Business, Financial Operations Occupations",91,348,NA
"3","Computer, Mathematical Occupations",37,385,NA
"4","Architecture, Engineering Occupations",65,450,NA
"5","Life, Physical, Social Science Occupations",35,485,NA
"6","Community, Social Services Occupations",42,527,NA
"7","Legal Occupations",17,544,NA
"8","Education, Training, Library Occupations",174,718,NA
"9","Arts, Design, Entertainment, Sports, Media Occupations",55,773,NA
"10","Healthcare Practitioner, Technical Occupations",110,883,NA
"11","Healthcare Support Occupations",118,1001,NA
"12","Protective Service Occupations",74,1075,NA
"13","Food Preparation, Serving Occupations",256,1331,NA
"14","Building & Grounds Cleaning, Maintenance Occupations",201,1532,NA
"15","Personal Care, Service Occupations",135,1667,NA
"16","Sales & Related Occupations",392,2059,NA
"17","Office, Administrative Support Occupations",491,2550,NA
"18","Farming, Fishing, Forestry Occupations",68,2618,NA
"19","Construction, Extraction Occupations",289,2907,NA
"20","Installation, Maintenance, Repair Occupations",117,3024,NA
"21","Production Occupations",480,3504,NA
"22","Transportation, Material Moving Occupations",276,3780,NA
"23","Armed Forces",29,3809,NA
"98","Text present but uncodable",3,3812,NA
"99","Blank but applicable",0,3812,NA
".","Missing",3077,6889,NA
