"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"D","Sound primary tooth",1184,1184,NA
"E","Missing due to dental disease",261,1445,NA
"K","Primary tooth with surface condition (s)",193,1638,NA
"M","Missing due to other causes",247,1885,NA
"R","Missing due to dental disease but replaced",836,2721,NA
"S","Sound permanent tooth",4182,6903,NA
"U","Unerupted",32,6935,NA
"X","Missing due to other causes but replaced",13,6948,NA
"Y","Tooth present, condition cannot be assessed",11,6959,NA
"Z","Permanent tooth with surface condition (s)",1083,8042,NA
"< blank >","Missing",545,8587,NA
