"OHX15CSC.Code.or.Value","OHX15CSC.Value.Description","OHX15CSC.Count","OHX15CSC.Cumulative","OHX15CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",911,911,NA
"0","Lingual surface caries",11,922,NA
"1","Occlusal/incisal caries",102,1024,NA
"2","Facial surface caries",5,1029,NA
"3","Mesial caries",5,1034,NA
"4","Distal caries",2,1036,NA
"5","Lingual surface restoration",7,1043,NA
"6","Occlusal/incisal restoration",723,1766,NA
"7","Facial surface restoration",6,1772,NA
"8","Mesial restoration",1,1773,NA
"9","Distal restoration",3,1776,NA
"< blank >","Missing",6811,8587,NA
