"OHD12CTC.Code.or.Value","OHD12CTC.Value.Description","OHD12CTC.Count","OHD12CTC.Cumulative","OHD12CTC.Skip.to.Item"
"D","Sound primary tooth",1431,1431,NA
"E","Missing due to dental disease",223,1654,NA
"K","Primary tooth with surface condition (s)",251,1905,NA
"M","Missing due to other causes",286,2191,NA
"R","Missing due to dental disease but replaced",854,3045,NA
"S","Sound permanent tooth",4514,7559,NA
"U","Unerupted",34,7593,NA
"X","Missing due to other causes but replaced",14,7607,NA
"Y","Tooth present, condition cannot be assessed",8,7615,NA
"Z","Permanent tooth with surface condition (s)",1356,8971,NA
"< blank >","Missing",627,9598,NA
