"OHD30CSC.Code.or.Value","OHD30CSC.Value.Description","OHD30CSC.Count","OHD30CSC.Cumulative","OHD30CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",2113,2113,NA
"0","Lingual surface caries",0,2113,NA
"1","Occlusal/incisal caries",84,2197,NA
"2","Facial surface caries",41,2238,NA
"3","Mesial caries",2,2240,NA
"4","Distal caries",3,2243,NA
"5","Lingual surface restoration",1,2244,NA
"6","Occlusal/incisal restoration",638,2882,NA
"7","Facial surface restoration",185,3067,NA
"8","Mesial restoration",1,3068,NA
"9","Distal restoration",0,3068,NA
"< blank >","Missing",6530,9598,NA
