"OHX06CTC.Code.or.Value","OHX06CTC.Value.Description","OHX06CTC.Count","OHX06CTC.Cumulative","OHX06CTC.Skip.to.Item"
"D","Sound primary tooth",1493,1493,NA
"E","Missing due to dental disease",96,1589,NA
"J","Permanent root tip is present but no restorative replacement is present",32,1621,NA
"K","Primary tooth with surface condition (s)",57,1678,NA
"M","Missing due to other causes",23,1701,NA
"P","Missing due to dental disease but replaced by a removable restoration",774,2475,NA
"Q","Missing due to other causes but replaced by a removable restoration",14,2489,NA
"R","Missing due to dental disease,  but replaced by a fixed restoration",7,2496,NA
"S","Sound permanent tooth",5018,7514,NA
"T","Permanent root tip is present but a restorative replacement is present",4,7518,NA
"U","Unerupted",87,7605,NA
"X","Missing due to other causes, but replaced by a fixed restoration",4,7609,NA
"Y","Tooth present, condition cannot be assessed",86,7695,NA
"Z","Permanent tooth with surface condition (s)",550,8245,NA
"< blank >","Missing",602,8847,NA
