"OHX06CSC.Code.or.Value","OHX06CSC.Value.Description","OHX06CSC.Count","OHX06CSC.Cumulative","OHX06CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #6","Value was recorded",342,342,NA
"0","Lingual surface caries",14,356,NA
"2","Facial surface caries",48,404,NA
"3","Mesial caries",14,418,NA
"4","Distal caries",12,430,NA
"5","Lingual surface restoration",39,469,NA
"7","Facial surface restoration",38,507,NA
"8","Mesial restoration",8,515,NA
"9","Distal restoration",12,527,NA
"< blank >","Missing",8429,8956,NA
