"OHX18CTC.Code.or.Value","OHX18CTC.Value.Description","OHX18CTC.Count","OHX18CTC.Cumulative","OHX18CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",954,954,NA
"J","Permanent root tip is present but no restorative replacement is present",90,1044,NA
"K","Primary tooth with surface condition (s)",0,1044,NA
"M","Missing due to other causes",4,1048,NA
"P","Missing due to dental disease but replaced by a removable restoration",495,1543,NA
"Q","Missing due to other causes but replaced by a removable restoration",0,1543,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",33,1576,NA
"S","Sound permanent tooth",2252,3828,NA
"T","Permanent root tip is present but a restorative replacement is present",2,3830,NA
"U","Unerupted",2200,6030,NA
"X","Missing due to other causes, but replaced by a fixed restoration",0,6030,NA
"Y","Tooth present, condition cannot be assessed",78,6108,NA
"Z","Permanent tooth with surface condition (s)",2333,8441,NA
"< blank >","Missing",515,8956,NA
