"OHX13CSC.Code.or.Value","OHX13CSC.Value.Description","OHX13CSC.Count","OHX13CSC.Cumulative","OHX13CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #13","Value was recorded",1554,1554,NA
"0","Lingual surface caries",4,1558,NA
"1","Occlusal/incisal caries",69,1627,NA
"2","Facial surface caries",6,1633,NA
"3","Mesial caries",11,1644,NA
"4","Distal caries",13,1657,NA
"5","Lingual surface restoration",3,1660,NA
"6","Occlusal/incisal restoration",337,1997,NA
"7","Facial surface restoration",9,2006,NA
"8","Mesial restoration",1,2007,NA
"9","Distal restoration",1,2008,NA
"< blank >","Missing",7414,9422,NA
