"OHX07CTC.Code.or.Value","OHX07CTC.Value.Description","OHX07CTC.Count","OHX07CTC.Cumulative","OHX07CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",40,40,NA
"D","Sound primary tooth",1391,1431,NA
"E","Missing due to dental disease",129,1560,NA
"F","Permanent tooth with a restored surface condition",539,2099,NA
"J","Permanent root tip is present but no restorative replacement is present",62,2161,NA
"K","Primary tooth with a dental carious surface condition",26,2187,NA
"M","Missing due to other causes",25,2212,NA
"P","Missing due to dental disease but replaced by a removable restoration",617,2829,NA
"Q","Missing due to other causes but replaced by a removable restoration",56,2885,NA
"R","Missing due to dental disease but replaced by a fixed restoration",53,2938,NA
"S","Sound permanent tooth",5477,8415,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8415,NA
"U","Unerupted",119,8534,NA
"X","Missing due to other causes but replaced by a fixed restoration",11,8545,NA
"Y","Tooth present, condition cannot be assessed",149,8694,NA
"Z","Permanent tooth with a dental carious surface condition",164,8858,NA
"< blank >","Missing",307,9165,NA
