"OHX30CSC.Code.or.Value","OHX30CSC.Value.Description","OHX30CSC.Count","OHX30CSC.Cumulative","OHX30CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #30","Value was recorded",1074,1074,NA
"0","Lingual AMALGAM restoration",0,1074,NA
"1","Occlusal AMALGAM restoration",315,1389,NA
"2","Facial AMALGAM restoration",99,1488,NA
"3","Mesial AMALGAM restoration",0,1488,NA
"4","Distal AMALGAM restoration",0,1488,NA
"5","Lingual OTHER restoration",0,1488,NA
"6","Occlusal OTHER restoration",436,1924,NA
"7","Facial OTHER restoration",31,1955,NA
"8","Mesial OTHER restoration",0,1955,NA
"9","Distal OTHER restoration",0,1955,NA
"-1","Crown (non-specific full-coverage restoration)",632,2587,NA
"-4","Lingual caries",3,2590,NA
"-5","Occlusal caries",95,2685,NA
"-6","Facial caries",34,2719,NA
"-7","Mesial caries",13,2732,NA
"-8","Distal caries",13,2745,NA
"< blank >","Missing",6420,9165,NA
