"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",263,263,NA
"D","Sound primary tooth",1187,1450,NA
"E","Missing due to dental disease",425,1875,NA
"F","Permanent tooth with a restored surface condition",1244,3119,NA
"J","Permanent root tip is present but no restorative replacement is present",68,3187,NA
"K","Primary tooth with a dental carious surface condition",54,3241,NA
"M","Missing due to other causes",15,3256,NA
"P","Missing due to dental disease but replaced by a removable restoration",524,3780,NA
"Q","Missing due to other causes but replaced by a removable restoration",19,3799,NA
"R","Missing due to dental disease but replaced by a fixed restoration",56,3855,NA
"S","Sound permanent tooth",3905,7760,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7760,NA
"U","Unerupted",242,8002,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8003,NA
"Y","Tooth present, condition cannot be assessed",3,8006,NA
"Z","Permanent tooth with a dental carious surface condition",94,8100,NA
"< blank >","Missing",266,8366,NA
