"OHX31CSC.Code.or.Value","OHX31CSC.Value.Description","OHX31CSC.Count","OHX31CSC.Cumulative","OHX31CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #31","Value was recorded",694,694,NA
"0","Lingual AMALGAM restoration",0,694,NA
"1","Occlusal AMALGAM restoration",464,1158,NA
"2","Facial AMALGAM restoration",45,1203,NA
"3","Mesial AMALGAM restoration",0,1203,NA
"4","Distal AMALGAM restoration",0,1203,NA
"5","Lingual OTHER restoration",0,1203,NA
"6","Occlusal OTHER restoration",423,1626,NA
"7","Facial OTHER restoration",9,1635,NA
"8","Mesial OTHER restoration",0,1635,NA
"9","Distal OTHER restoration",0,1635,NA
"-1","Crown (non-specific full-coverage restoration)",466,2101,NA
"-4","Lingual caries",1,2102,NA
"-5","Occlusal caries",86,2188,NA
"-6","Facial caries",25,2213,NA
"-7","Mesial caries",10,2223,NA
"-8","Distal caries",3,2226,NA
"< blank >","Missing",6140,8366,NA
