"OPASCCT2.Code.or.Value","OPASCCT2.Value.Description","OPASCCT2.Count","OPASCCT2.Cumulative","OPASCCT2.Skip.to.Item"
"1","Safety exclusion",6,6,NA
"2","SP refusal",34,40,NA
"3","No time",13,53,NA
"4","Physical limitation",144,197,NA
"5","Communication problem",18,215,NA
"6","Equipment failure",3,218,NA
"7","SP ill/emergency",9,227,NA
"12","Eye specific limitation",86,313,NA
"14","Interrupted",2,315,NA
"56","Came late/left early",316,631,NA
"72","Error (technician/software/supply)",7,638,NA
"84","SP with child",12,650,NA
"86","SP Blind",8,658,NA
"99","Other, specify",1,659,NA
"101","Eye specific limitation: Small pupil size",12,671,NA
"103","Eye specific limitation: SP unable to keep eyes open",10,681,NA
"104","Eye specific limitation: SP unable to fixate adequately",10,691,NA
".","Missing",3172,3863,NA
