"OPDURET.Code.or.Value","OPDURET.Value.Description","OPDURET.Count","OPDURET.Cumulative","OPDURET.Skip.to.Item"
"10","No retinopathy",2589,2589,NA
"12","Non-diabetic retinal disease specific retinopathy",80,2669,NA
"13","Questionable retinopathy",180,2849,NA
"14","HE, SE, IRMA, VL but no MAS",15,2864,NA
"15","HEM only, no MAS",74,2938,NA
"20","MAS only",168,3106,NA
"31","Early NPR",72,3178,NA
"41","Moderate NPR",42,3220,NA
"51","Severe NPR",7,3227,NA
"60","Fibrous prolif. only",4,3231,NA
"61","No retinopathy but PRP laser",2,3233,NA
"62","MAS only +  PRP laser",0,3233,NA
"63","Early NPR + PRP laser",6,3239,NA
"64","Moderate/severe NPR + PRP laser",2,3241,NA
"65","PR < HRC",3,3244,NA
"70","PR >= HRC",1,3245,NA
"80","Total VH",0,3245,NA
".","Missing",618,3863,NA
