"OSQ100b.Code.or.Value","OSQ100b.Value.Description","OSQ100b.Count","OSQ100b.Cumulative","OSQ100b.Skip.to.Item"
"10","HEAD/FACE",2,2,NA
"11","UPPER ARM (HUMERUS)",2,4,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",2,6,NA
"13","ELBOW",0,6,NA
"14","HAND",2,8,NA
"15","FINGERS",13,21,NA
"16","SHOULDER",2,23,NA
"17","COLLAR BONE",1,24,NA
"18","RIBS (EITHER SIDE)",0,24,NA
"19","PELVIS (NOT HIP)",1,25,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",1,26,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",3,29,NA
"22","KNEE (PATELLA)",0,29,NA
"23","ANKLE",15,44,NA
"24","HEEL",0,44,NA
"25","FOOT",9,53,NA
"26","TOES",14,67,NA
"27","OTHER (DO NOT SPECIFY)",4,71,NA
"77","Refused",0,71,NA
"99","Don't know",0,71,NA
".","Missing",3744,3815,NA
