"OSQ100c.Code.or.Value","OSQ100c.Value.Description","OSQ100c.Count","OSQ100c.Cumulative","OSQ100c.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",0,0,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",1,1,NA
"13","ELBOW",0,1,NA
"14","HAND",0,1,NA
"15","FINGERS",2,3,NA
"16","SHOULDER",2,5,NA
"17","COLLAR BONE",2,7,NA
"18","RIBS (EITHER SIDE)",1,8,NA
"19","PELVIS (NOT HIP)",0,8,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,8,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,8,NA
"22","KNEE (PATELLA)",0,8,NA
"23","ANKLE",3,11,NA
"24","HEEL",0,11,NA
"25","FOOT",7,18,NA
"26","TOES",2,20,NA
"27","OTHER (DO NOT SPECIFY)",0,20,NA
"77","Refused",0,20,NA
"99","Don't know",0,20,NA
".","Missing",3795,3815,NA
