"OSQ100e.Code.or.Value","OSQ100e.Value.Description","OSQ100e.Count","OSQ100e.Cumulative","OSQ100e.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",1,1,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,1,NA
"13","ELBOW",0,1,NA
"14","HAND",0,1,NA
"15","FINGERS",1,2,NA
"16","SHOULDER",0,2,NA
"17","COLLAR BONE",0,2,NA
"18","RIBS (EITHER SIDE)",1,3,NA
"19","PELVIS (NOT HIP)",0,3,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,3,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,3,NA
"22","KNEE (PATELLA)",0,3,NA
"23","ANKLE",0,3,NA
"24","HEEL",0,3,NA
"25","FOOT",0,3,NA
"26","TOES",0,3,NA
"27","OTHER (DO NOT SPECIFY)",0,3,NA
"77","Refused",0,3,NA
"99","Don't know",0,3,NA
".","Missing",3812,3815,NA
