"PADACTIV.Code.or.Value","PADACTIV.Value.Description","PADACTIV.Count","PADACTIV.Cumulative","PADACTIV.Skip.to.Item"
"10","AEROBICS",624,624,NA
"11","BASEBALL",160,784,NA
"12","BASKETBALL",1122,1906,NA
"13","BICYCLING",958,2864,NA
"14","BOWLING",194,3058,NA
"15","DANCE",882,3940,NA
"16","FISHING",236,4176,NA
"17","FOOTBALL",501,4677,NA
"18","GARDENING",10,4687,NA
"19","GOLF",239,4926,NA
"20","HIKING",423,5349,NA
"21","HOCKEY",50,5399,NA
"22","HUNTING",64,5463,NA
"23","JOGGING",768,6231,NA
"24","KAYAKING",66,6297,NA
"25","PUSH-UPS",4,6301,NA
"26","RACQUETBALL",46,6347,NA
"27","ROLLERBLADING",84,6431,NA
"28","ROWING",54,6485,NA
"29","RUNNING",1067,7552,NA
"30","SIT-UPS",10,7562,NA
"31","SKATING",133,7695,NA
"32","SKIING - CROSS COUNTRY",24,7719,NA
"33","SKIING - DOWNHILL",24,7743,NA
"34","SOCCER",450,8193,NA
"35","SOFTBALL",119,8312,NA
"36","STAIR CLIMBING",381,8693,NA
"37","STRETCHING",543,9236,NA
"38","SWIMMING",544,9780,NA
"39","TENNIS",167,9947,NA
"40","TREADMILL",591,10538,NA
"41","VOLLEYBALL",225,10763,NA
"42","WALKING",2087,12850,NA
"43","WEIGHT LIFTING",649,13499,NA
"44","YARD WORK",34,13533,NA
"50","BOXING",92,13625,NA
"51","FRISBEE",89,13714,NA
"52","HORSEBACK RIDING",35,13749,NA
"53","MARTIAL ARTS",67,13816,NA
"54","WRESTLING",130,13946,NA
"55","YOGA",125,14071,NA
"56","CHEERLEADING AND GYMNASTICS",23,14094,NA
"57","CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)",12,14106,NA
"58","ROPE JUMPING",11,14117,NA
"59","SKATEBOARDING",22,14139,NA
"60","SURFING",1,14140,NA
"61","TRAMPOLINE JUMPING",10,14150,NA
"71","OTHER",62,14212,NA
".","Missing",0,14212,NA
