"PAXFLGSM.Code.or.Value","PAXFLGSM.Value.Description","PAXFLGSM.Count","PAXFLGSM.Cumulative","PAXFLGSM.Skip.to.Item"
"Quality flags triggered","Value was recorded",15616,15616,NA
"A","Occurrence of spikes on x-axis",3666,19282,NA
"B","Occurrence of spikes on y-axis",1051,20333,NA
"C","Occurrence of spikes on z-axis",1933,22266,NA
"D","Occurrence of maximum g_values on the x-axis",5,22271,NA
"E","Occurrence of maximum g_values on the y-axis",19,22290,NA
"F","Occurrence of maximum g_values on the z-axis",1,22291,NA
"G","Occurrence of minimum g_values on the x-axis",3,22294,NA
"H","Occurrence of minimum g_values on the y-axis",0,22294,NA
"I","Occurrence of minimum g_values on the z-axis",0,22294,NA
"J","Occurrence of contiguous maximum g_values on the x-axis",13,22307,NA
"K","Occurrence of contiguous maximum g_values on the y-axis",5,22312,NA
"L","Occurrence of contiguous maximum g_values on the z-axis",1,22313,NA
"M","Occurrence of contiguous minimum g_values on the x-axis",32,22345,NA
"N","Occurrence of contiguous minimum g_values on the y-axis",7,22352,NA
"O","Occurrence of contiguous minimum g_values on the z-axis",2,22354,NA
"P","Occurrence of contiguous impossible g_values for gravity (i.e., zero g for gravity)",45248,67602,NA
"Q","Occurrence of contiguous adjacent zero values on the z-, y-, or z-axis",2153,69755,NA
"R","Occurrence of contiguous adjacent identical non-zero values on the x-, y-, or z-axis",3724,73479,NA
"S","Occurrence of spikes on the x-axis in 1-second intervals",470,73949,NA
"T","Occurrence of spikes on the y-axis in 1-second intervals",137,74086,NA
"U","Occurrence of spikes on the z-axis in 1-second intervals",13,74099,NA
"V","Adjacent measures to periods of invalid data",35059,109158,NA
"W","Interval jump in measurements on the x-axis (i.e., no measurement for the x-axis for this time period)",0,109158,NA
"X","Interval jump in measurements on the y-axis (i.e., no measurement for the y-axis for this time period)",0,109158,NA
"Y","Interval jump in measurements on the z-axis (i.e., no measurement for the z-axis for this time period)",0,109158,NA
"< blank >","Missing",78017698,78126856,NA
