"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",2,2,NA
"11","Back or neck problem",7,9,NA
"12","Birth defect",0,9,NA
"13","Cancer",1,10,NA
"14","Depression/anxiety/emotional problem",10,20,NA
"15","Other developmental problem (such as cerebral palsy)",0,20,NA
"16","Diabetes",16,36,NA
"17","Fractures, bone/joint injury",33,69,NA
"18","Hearing problem",24,93,NA
"19","Heart problem",36,129,NA
"20","Hypertension/high blood pressure",36,165,NA
"21","Lung/breathing problem",31,196,NA
"22","Mental retardation",0,196,NA
"23","Other injury",9,205,NA
"24","Senility",8,213,NA
"25","Stroke problem",7,220,NA
"26","Vision/problem seeing",39,259,NA
"27","Weight problem",33,292,NA
"28","Other impairment/problem",26,318,NA
"77","Refused",0,318,NA
"99","Don't know",0,318,NA
".","Missing",9327,9645,NA
