"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",55,55,NA
"11","Back or neck problem",226,281,NA
"12","Birth defect",1,282,NA
"13","Cancer",14,296,NA
"14","Depression/anxiety/emotional problem",61,357,NA
"15","Other developmental problem (such as cerebral palsy)",2,359,NA
"16","Diabetes",61,420,NA
"17","Fractures, bone/joint injury",77,497,NA
"18","Hearing problem",35,532,NA
"19","Heart problem",61,593,NA
"20","Hypertension/high blood pressure",69,662,NA
"21","Lung/breathing problem",39,701,NA
"22","Mental retardation",1,702,NA
"23","Other injury",13,715,NA
"24","Senility",3,718,NA
"25","Stroke problem",13,731,NA
"26","Vision/problem seeing",27,758,NA
"27","Weight problem",23,781,NA
"28","Other impairment/problem",62,843,NA
"77","Refused",0,843,NA
"99","Don't know",0,843,NA
".","Missing",8979,9822,NA
