"PFQ063D.Code.or.Value","PFQ063D.Value.Description","PFQ063D.Count","PFQ063D.Cumulative","PFQ063D.Skip.to.Item"
"10","Arthritis/rheumatism",14,14,NA
"11","Back or neck problem",5,19,NA
"12","Birth defect",1,20,NA
"13","Cancer",1,21,NA
"14","Depression/anxiety/emotional problem",14,35,NA
"15","Other developmental problem (such as cerebral palsy)",1,36,NA
"16","Diabetes",26,62,NA
"17","Fractures, bone/joint injury",42,104,NA
"18","Hearing problem",19,123,NA
"19","Heart problem",48,171,NA
"20","Hypertension/high blood pressure",78,249,NA
"21","Lung/breathing problem",56,305,NA
"22","Mental retardation",2,307,NA
"23","Other injury",4,311,NA
"24","Senility",4,315,NA
"25","Stroke problem",15,330,NA
"26","Vision/problem seeing",52,382,NA
"27","Weight problem",37,419,NA
"28","Other impairment/problem",33,452,NA
"77","Refused",0,452,NA
"99","Don't know",0,452,NA
".","Missing",9214,9666,NA
