"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",6,6,NA
"11","Back or neck problem",10,16,NA
"12","Birth defect",0,16,NA
"13","Cancer",0,16,NA
"14","Depression/anxiety/emotional problem",3,19,NA
"15","Other developmental problem (such as cerebral palsy)",0,19,NA
"16","Diabetes",5,24,NA
"17","Fractures, bone/joint injury",14,38,NA
"18","Hearing problem",8,46,NA
"19","Heart problem",9,55,NA
"20","Hypertension/high blood pressure",39,94,NA
"21","Lung/breathing problem",24,118,NA
"22","Mental retardation",0,118,NA
"23","Other injury",7,125,NA
"24","Senility",0,125,NA
"25","Stroke problem",14,139,NA
"26","Vision/problem seeing",46,185,NA
"27","Weight problem",41,226,NA
"28","Other impairment/problem",21,247,NA
"77","Refused",0,247,NA
"99","Don't know",0,247,NA
".","Missing",8769,9016,NA
