"PFQ063C.Code.or.Value","PFQ063C.Value.Description","PFQ063C.Count","PFQ063C.Cumulative","PFQ063C.Skip.to.Item"
"10","Arthritis/rheumatism",27,27,NA
"11","Back or neck problem",21,48,NA
"12","Birth defect",4,52,NA
"13","Cancer",12,64,NA
"14","Depression/anxiety/emotional problem",95,159,NA
"15","Other developmental problem (such as cerebral palsy)",4,163,NA
"16","Diabetes",67,230,NA
"17","Fractures, bone/joint injury",81,311,NA
"18","Hearing problem",47,358,NA
"19","Heart problem",43,401,NA
"20","Hypertension/high blood pressure",90,491,NA
"21","Lung/breathing problem",32,523,NA
"22","Mental retardation",4,527,NA
"23","Other injury",16,543,NA
"24","Senility",2,545,NA
"25","Stroke problem",16,561,NA
"26","Vision/problem seeing",48,609,NA
"27","Weight problem",31,640,NA
"28","Other impairment/problem",58,698,NA
"77","Refused",0,698,NA
"99","Don't know",0,698,NA
".","Missing",8532,9230,NA
