"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",87,87,NA
"11","Back or neck problem",347,434,NA
"12","Birth defect",7,441,NA
"13","Cancer",37,478,NA
"14","Depression/anxiety/emotional problem",135,613,NA
"15","Other developmental problem (such as cerebral palsy)",2,615,NA
"16","Diabetes",114,729,NA
"17","Fractures, bone/joint injury",100,829,NA
"18","Hearing problem",69,898,NA
"19","Heart problem",67,965,NA
"20","Hypertension/high blood pressure",94,1059,NA
"21","Lung/breathing problem",50,1109,NA
"22","Mental retardation",3,1112,NA
"23","Other injury",32,1144,NA
"24","Senility",0,1144,NA
"25","Stroke problem",14,1158,NA
"26","Vision/problem seeing",43,1201,NA
"27","Weight problem",38,1239,NA
"28","Other impairment/problem",107,1346,NA
"77","Refused",0,1346,NA
"99","Don't know",0,1346,NA
".","Missing",7645,8991,NA
