"SMQ621.Code.or.Value","SMQ621.Value.Description","SMQ621.Count","SMQ621.Cumulative","SMQ621.Skip.to.Item"
"1","I have never smoked, not even a puff",836,836,"SMAQUEX2"
"2","1 or more puffs but never a whole cigarette",85,921,"SMAQUEX2"
"3","1 cigarette",12,933,""
"4","2 to 5 cigarettes",25,958,""
"5","6 to 15 cigarettes",17,975,""
"6","16 to 25 cigarettes",10,985,""
"7","26 to 99 cigarettes",11,996,""
"8","100 or more cigarettes",9,1005,""
"77","Refused",1,1006,"SMAQUEX2"
"99","Don't know",1,1007,"SMAQUEX2"
".","Missing",6161,7168,""
