"INDFMINC.Code.or.Value","INDFMINC.Value.Description","INDFMINC.Count","INDFMINC.Cumulative","INDFMINC.Skip.to.Item"
"1","$     0 to $ 4,999",569,569,NA
"2","$ 5,000 to $ 9,999",877,1446,NA
"3","$10,000 to $14,999",1062,2508,NA
"4","$15,000 to $19,999",829,3337,NA
"5","$20,000 to $24,999",844,4181,NA
"6","$25,000 to $34,999",1077,5258,NA
"7","$35,000 to $44,999",740,5998,NA
"8","$45,000 to $54,999",611,6609,NA
"9","$55,000 to $64,999",451,7060,NA
"10","$65,000 to $74,999",348,7408,NA
"11","$75,000 and Over",1074,8482,NA
"12","Over $20,000",404,8886,NA
"13","Under $20,000",366,9252,NA
"77","Refused",301,9553,NA
"99","Don't know",230,9783,NA
".","Missing",182,9965,NA
