"RXQ310.Code.or.Value","RXQ310.Value.Description","RXQ310.Count","RXQ310.Cumulative","RXQ310.Skip.to.Item"
"10","Aspirin - also buffered aspirin products such as Anacin, Bayer, Bufferin, Midol, Ascripton, Ecotrin, Pabrin and Alka Seltzer",562,562,NA
"11","Tylenol - also other acetaminophen products, including sinus products such as Anacin-3, Dristan AF, and Comtrex",266,828,NA
"12","Ibuprofen - also, Advil, Nuprin, Motrin IB (including cold and sinus products containing ibuprofen)",227,1055,NA
"13","Excedrin",40,1095,NA
"14","Vanquish",4,1099,NA
"15","Feldene",15,1114,NA
"16","Voltarin",5,1119,NA
"17","Clinoril",3,1122,NA
"18","Indocin",6,1128,NA
"19","Naprosyn - also Aleve",67,1195,NA
"20","Tolectin",0,1195,NA
"77","Refused",0,1195,NA
"99","Don't know",7,1202,NA
".","Missing",3872,5074,NA
