"INDHHINC.Code.or.Value","INDHHINC.Value.Description","INDHHINC.Count","INDHHINC.Cumulative","INDHHINC.Skip.to.Item"
"1","$     0 to $ 4,999",268,268,NA
"2","$ 5,000 to $ 9,999",591,859,NA
"3","$10,000 to $14,999",854,1713,NA
"4","$15,000 to $19,999",930,2643,NA
"5","$20,000 to $24,999",824,3467,NA
"6","$25,000 to $34,999",1244,4711,NA
"7","$35,000 to $44,999",1017,5728,NA
"8","$45,000 to $54,999",921,6649,NA
"9","$55,000 to $64,999",722,7371,NA
"10","$65,000 to $74,999",493,7864,NA
"11","$75,000 and Over",2096,9960,NA
"12","Over $20,000",11,9971,NA
"13","Under $20,000",8,9979,NA
"77","Refused",12,9991,NA
"99","Don't know",22,10013,NA
".","Missing",1026,11039,NA
