"OHD21CTC.Code.or.Value","OHD21CTC.Value.Description","OHD21CTC.Count","OHD21CTC.Cumulative","OHD21CTC.Skip.to.Item"
"D","Sound primary tooth",1377,1377,NA
"E","Missing due to dental disease",151,1528,NA
"K","Primary tooth with surface condition (s)",298,1826,NA
"M","Missing due to other causes",244,2070,NA
"R","Missing due to dental disease but replaced",549,2619,NA
"S","Sound permanent tooth",5473,8092,NA
"U","Unerupted",43,8135,NA
"X","Missing due to other causes but replaced",5,8140,NA
"Y","Tooth present, condition cannot be assessed",2,8142,NA
"Z","Permanent tooth with surface condition (s)",829,8971,NA
"< blank >","Missing",627,9598,NA
