"RXD310.Code.or.Value","RXD310.Value.Description","RXD310.Count","RXD310.Cumulative","RXD310.Skip.to.Item"
"10","Aspirin - also buffered aspirin products such as Anacin, Bayer, Bufferin, Midol, Ascripton, Ecotrin, Pabrin and Alka Seltzer",750,750,NA
"11","Tylenol - also other acetaminophen products, including sinus products such as Anacin-3, Dristan AF, and Comtrex",275,1025,NA
"12","Ibuprofen - also, Advil, Nuprin, Motrin IB (including cold and sinus products containing ibuprofen)",304,1329,NA
"13","Excedrin",30,1359,NA
"14","Vanquish",2,1361,NA
"15","Feldene",10,1371,NA
"16","Voltarin",6,1377,NA
"17","Clinoril",0,1377,NA
"18","Indocin",4,1381,NA
"19","Naprosyn - also Aleve",94,1475,NA
"20","Tolectin",0,1475,NA
"77","Refused",1,1476,NA
"99","Don't know",4,1480,NA
".","Missing",4159,5639,NA
