"FFQ0042A.Code.or.Value","FFQ0042A.Value.Description","FFQ0042A.Count","FFQ0042A.Cumulative","FFQ0042A.Skip.to.Item"
1,"never",151,151,NA
2,"1-6 times per season",462,613,NA
3,"7-11 times per season",365,978,NA
4,"1 time per month",228,1206,NA
5,"2-3 times per month",647,1853,NA
6,"1 time per week",441,2294,NA
7,"2 times per week",648,2942,NA
8,"3-4 times per week",993,3935,NA
9,"5-6 times per week",456,4391,NA
10,"1 time per day",350,4741,NA
11,"2 or more times per day",179,4920,NA
88,"Blank",1516,6436,NA
99,"Error",36,6472,NA
