"KIQ052.Code.or.Value","KIQ052.Value.Description","KIQ052.Count","KIQ052.Cumulative","KIQ052.Skip.to.Item"
"1","Not at all,",1136,1136,NA
"1","Not at all,",1136,1136,NA
"2","only a little,",273,1409,NA
"2","only a little,",273,1409,NA
"3","somewhat,",148,1557,NA
"3","somewhat,",148,1557,NA
"4","very much, or",51,1608,NA
"4","very much, or",51,1608,NA
"5","greatly",29,1637,NA
"5","greatly",29,1637,NA
"7","Refused",0,1637,NA
"7","Refused",0,1637,NA
"9","Don't know",1,1638,NA
"9","Don't know",1,1638,NA
".","Missing",3403,5041,NA
".","Missing",3403,5041,NA
