"OSQ100a.Code.or.Value","OSQ100a.Value.Description","OSQ100a.Count","OSQ100a.Cumulative","OSQ100a.Skip.to.Item"
"10","HEAD/FACE",5,5,NA
"11","UPPER ARM (HUMERUS)",2,7,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",5,12,NA
"13","ELBOW",10,22,NA
"14","HAND",13,35,NA
"15","FINGERS",68,103,NA
"16","SHOULDER",5,108,NA
"17","COLLAR BONE",2,110,NA
"18","RIBS (EITHER SIDE)",16,126,NA
"19","PELVIS (NOT HIP)",3,129,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",1,130,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",14,144,NA
"22","KNEE (PATELLA)",10,154,NA
"23","ANKLE",66,220,NA
"24","HEEL",4,224,NA
"25","FOOT",34,258,NA
"26","TOES",59,317,NA
"27","OTHER (DO NOT SPECIFY)",4,321,NA
"77","Refused",0,321,NA
"99","Don't know",0,321,NA
".","Missing",4658,4979,NA
