"OSQ100b.Code.or.Value","OSQ100b.Value.Description","OSQ100b.Count","OSQ100b.Cumulative","OSQ100b.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",0,0,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",1,1,NA
"13","ELBOW",2,3,NA
"14","HAND",5,8,NA
"15","FINGERS",20,28,NA
"16","SHOULDER",1,29,NA
"17","COLLAR BONE",0,29,NA
"18","RIBS (EITHER SIDE)",4,33,NA
"19","PELVIS (NOT HIP)",2,35,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,35,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",6,41,NA
"22","KNEE (PATELLA)",1,42,NA
"23","ANKLE",12,54,NA
"24","HEEL",0,54,NA
"25","FOOT",6,60,NA
"26","TOES",13,73,NA
"27","OTHER (DO NOT SPECIFY)",2,75,NA
"77","Refused",0,75,NA
"99","Don't know",0,75,NA
".","Missing",4904,4979,NA
