"OSQ100d.Code.or.Value","OSQ100d.Value.Description","OSQ100d.Count","OSQ100d.Cumulative","OSQ100d.Skip.to.Item"
"10","HEAD/FACE",0,0,NA
"11","UPPER ARM (HUMERUS)",0,0,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,0,NA
"13","ELBOW",0,0,NA
"14","HAND",0,0,NA
"15","FINGERS",0,0,NA
"16","SHOULDER",0,0,NA
"17","COLLAR BONE",0,0,NA
"18","RIBS (EITHER SIDE)",1,1,NA
"19","PELVIS (NOT HIP)",0,1,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,1,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,1,NA
"22","KNEE (PATELLA)",0,1,NA
"23","ANKLE",0,1,NA
"24","HEEL",0,1,NA
"25","FOOT",2,3,NA
"26","TOES",1,4,NA
"27","OTHER (DO NOT SPECIFY)",1,5,NA
"77","Refused",0,5,NA
"99","Don't know",0,5,NA
".","Missing",4974,4979,NA
