"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",68666,68666,NA
"1","Beverage w/ additions",9399,78065,NA
"2","Cereal w/ additions",5967,84032,NA
"3","Bread/baked products w/ additions",5467,89499,NA
"4","Salad",5465,94964,NA
"5","Sandwiches",12712,107676,NA
"6","Soup",552,108228,NA
"7","Frozen meals",59,108287,NA
"8","Ice cream/frozen yogurt w/ additions",320,108607,NA
"9","Dried beans and vegetable w/ additions",3724,112331,NA
"10","Fruit w/ additions",520,112851,NA
"11","Tortilla products",3084,115935,NA
"12","Meat, poultry, fish",2123,118058,NA
"13","LunchablesÂ®",147,118205,NA
"14","Chips w/ additions",366,118571,NA
"90","Other mixtures",2770,121341,NA
".","Missing",0,121341,NA
