"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",277,277,NA
"2","$400 - $799",636,913,NA
"3","$800 - $1249",1267,2180,NA
"4","$1250 - $1649",840,3020,NA
"5","$1650 - $2099",938,3958,NA
"6","$2100 - $2899",875,4833,NA
"7","$2900 - $3749",1104,5937,NA
"8","$3750 - $4599",695,6632,NA
"9","$4600 - $5399",527,7159,NA
"10","$5400 - $6249",450,7609,NA
"11","$6250 - $8399",536,8145,NA
"12","$8400 and over",812,8957,NA
"77","Refused",254,9211,NA
"99","Don't know",527,9738,NA
".","Missing",411,10149,NA
