"MCQ230A.Code.or.Value","MCQ230A.Value.Description","MCQ230A.Count","MCQ230A.Cumulative","MCQ230A.Skip.to.Item"
"10","Bladder",17,17,""
"11","Blood",0,17,""
"12","Bone",4,21,""
"13","Brain",1,22,""
"14","Breast",91,113,""
"15","Cervix (cervical)",42,155,""
"16","Colon",46,201,""
"17","Esophagus (esophageal)",5,206,""
"18","Gallbladder",1,207,""
"19","Kidney",6,213,""
"20","Larynx/ windpipe",2,215,""
"21","Leukemia",6,221,""
"22","Liver",2,223,""
"23","Lung",17,240,""
"24","Lymphoma/Hodgkin's disease",12,252,""
"25","Melanoma",31,283,""
"26","Mouth/tongue/lip",4,287,""
"27","Nervous system",1,288,""
"28","Ovary (ovarian)",19,307,""
"29","Pancreas (pancreatic)",2,309,""
"30","Prostate",91,400,""
"31","Rectum (rectal)",0,400,""
"32","Skin (non-melanoma)",81,481,""
"33","Skin (don't know what kind)",41,522,""
"34","Soft tissue (muscle or fat)",1,523,""
"35","Stomach",5,528,""
"36","Testis (testicular)",1,529,""
"37","Thyroid",9,538,""
"38","Uterus (uterine)",20,558,""
"39","Other",17,575,""
"66","More than 3 kinds",0,575,""
"77","Refused",0,575,""
"99","Don't know",1,576,"MCQ240DK"
".","Missing",9090,9666,""
