"OPDSRET.Code.or.Value","OPDSRET.Value.Description","OPDSRET.Count","OPDSRET.Cumulative","OPDSRET.Skip.to.Item"
"10","No retinopathy",2739,2739,NA
"12","Non-diabetic retinal disease specific retinopathy",48,2787,NA
"13","Questionable retinopathy",109,2896,NA
"14","HE, SE, IRMA, VL but no MAS",8,2904,NA
"15","HEM only, no MAS",37,2941,NA
"20","MAS only",99,3040,NA
"31","Early NPR",59,3099,NA
"41","Moderate NPR",30,3129,NA
"51","Severe NPR",4,3133,NA
"60","Fibrous prolif. only",3,3136,NA
"61","No retinopathy but PRP laser",3,3139,NA
"62","MAS only +  PRP laser",0,3139,NA
"63","Early NPR + PRP laser",4,3143,NA
"64","Moderate/severe NPR + PRP laser",2,3145,NA
"65","PR < HRC",3,3148,NA
"70","PR >= HRC",0,3148,NA
"80","Total VH",0,3148,NA
".","Missing",715,3863,NA
