"DR2HELPD.Code.or.Value","DR2HELPD.Value.Description","DR2HELPD.Count","DR2HELPD.Cumulative","DR2HELPD.Skip.to.Item"
"1","SP",466,466,NA
"2","Mother of SP",223,689,NA
"3","Father of SP",41,730,NA
"4","Wife of SP",149,879,NA
"5","Husband of SP",39,918,NA
"6","Daughter of SP",13,931,NA
"7","Son of SP",8,939,NA
"8","Grandparent of SP",10,949,NA
"9","Friend, Partner, Non Relative",16,965,NA
"10","Translator, not a HH member",3,968,NA
"11","Child care provider, Caretaker",3,971,NA
"12","Other Relative",40,1011,NA
"13","No one",7386,8397,NA
"14","Other specify",0,8397,NA
"77","Refused",0,8397,NA
"99","Don't know",2,8399,NA
".","Missing",1854,10253,NA
