"OSQ100c.Code.or.Value","OSQ100c.Value.Description","OSQ100c.Count","OSQ100c.Cumulative","OSQ100c.Skip.to.Item"
"10","HEAD/FACE",2,2,NA
"11","UPPER ARM (HUMERUS)",0,2,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,2,NA
"13","ELBOW",1,3,NA
"14","HAND",1,4,NA
"15","FINGERS",4,8,NA
"16","SHOULDER",1,9,NA
"17","COLLAR BONE",1,10,NA
"18","RIBS (EITHER SIDE)",2,12,NA
"19","PELVIS (NOT HIP)",0,12,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,12,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,12,NA
"22","KNEE (PATELLA)",1,13,NA
"23","ANKLE",3,16,NA
"24","HEEL",0,16,NA
"25","FOOT",3,19,NA
"26","TOES",1,20,NA
"27","OTHER (DO NOT SPECIFY)",1,21,NA
"77","Refused",0,21,NA
"99","Don't know",0,21,NA
".","Missing",6197,6218,NA
