"PAXDAYM.Code.or.Value","PAXDAYM.Value.Description","PAXDAYM.Count","PAXDAYM.Cumulative","PAXDAYM.Skip.to.Item"
"1","1st day of wear",3470287,3470287,NA
"2","2nd day of wear",9931619,13401906,NA
"3","3rd day of wear",9891990,23293896,NA
"4","4th day of wear",9845041,33138937,NA
"5","5th day of wear",9787733,42926670,NA
"6","6th day of wear",9726650,52653320,NA
"7","7th day of wear",9660984,62314304,NA
"8","8th day of wear",9568904,71883208,NA
"9","9th day of wear",6243648,78126856,NA
"< blank >","Missing",0,78126856,NA
