"SPXNCMT.Code.or.Value","SPXNCMT.Value.Description","SPXNCMT.Count","SPXNCMT.Cumulative","SPXNCMT.Skip.to.Item"
"1","Safety exclusion",0,0,NA
"2","SP refusal",70,70,NA
"3","No time",15,85,NA
"4","Physical limitation",34,119,NA
"5","Communication problem",21,140,NA
"6","Equipment failure",3,143,NA
"7","SP ill/emergency",14,157,NA
"14","Interrupted",1,158,NA
"21","Reached maximum number of ENO trials",0,158,NA
"51","SP unable to comply",11,169,NA
"56","Came late/left early",225,394,NA
"72","Error (technician/software/supply)",1,395,NA
"84","SP with child",33,428,NA
"99","Other",81,509,NA
"122","Language barrier",23,532,NA
".","Missing",6963,7495,NA
