"INDFMIN2.Code.or.Value","INDFMIN2.Value.Description","INDFMIN2.Count","INDFMIN2.Cumulative","INDFMIN2.Skip.to.Item"
"1","$ 0 to $ 4,999",375,375,NA
"2","$ 5,000 to $ 9,999",467,842,NA
"3","$10,000 to $14,999",691,1533,NA
"4","$15,000 to $19,999",706,2239,NA
"5","$20,000 to $24,999",897,3136,NA
"6","$25,000 to $34,999",1182,4318,NA
"7","$35,000 to $44,999",913,5231,NA
"8","$45,000 to $54,999",740,5971,NA
"9","$55,000 to $64,999",502,6473,NA
"10","$65,000 to $74,999",381,6854,NA
"12","$20,000 and Over",219,7073,NA
"13","Under $20,000",129,7202,NA
"14","$75,000 to $99,999",835,8037,NA
"15","$100,000 and Over",1701,9738,NA
"77","Refused",246,9984,NA
"99","Don't know",68,10052,NA
".","Missing",123,10175,NA
