"OCD241.Code.or.Value","OCD241.Value.Description","OCD241.Count","OCD241.Cumulative","OCD241.Skip.to.Item"
"1","Management Occupations",273,273,NA
"2","Business, Financial Operations Occupations",125,398,NA
"3","Computer, Mathematical Occupations",116,514,NA
"4","Architecture, Engineering Occupations",64,578,NA
"5","Life, Physical, Social Science Occupations",30,608,NA
"6","Community, Social Services Occupations",59,667,NA
"7","Legal Occupations",26,693,NA
"8","Education, Training, Library Occupations",144,837,NA
"9","Arts, Design, Entertainment, Sports, Media Occupations",50,887,NA
"10","Healthcare Practitioner, Technical Occupations",182,1069,NA
"11","Healthcare Support Occupations",110,1179,NA
"12","Protective Service Occupations",76,1255,NA
"13","Food Preparation, Serving Occupations",237,1492,NA
"14","Building & Grounds Cleaning, Maintenance Occupations",178,1670,NA
"15","Personal Care, Service Occupations",162,1832,NA
"16","Sales & Related Occupations",363,2195,NA
"17","Office, Administrative Support Occupations",397,2592,NA
"18","Farming, Fishing, Forestry Occupations",22,2614,NA
"19","Construction, Extraction Occupations",188,2802,NA
"20","Installation, Maintenance, Repair Occupations",113,2915,NA
"21","Production Occupations",244,3159,NA
"22","Transportation, Material Moving Occupations",258,3417,NA
"23","Armed Forces",4,3421,NA
".","Missing",3043,6464,NA
