"OHX27CSC.Code.or.Value","OHX27CSC.Value.Description","OHX27CSC.Count","OHX27CSC.Cumulative","OHX27CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #27","Value was recorded",148,148,NA
"0","Lingual surface caries",3,151,NA
"2","Facial surface caries",57,208,NA
"3","Mesial caries",18,226,NA
"4","Distal caries",8,234,NA
"5","Lingual surface restoration",5,239,NA
"7","Facial surface restoration",67,306,NA
"8","Mesial restoration",6,312,NA
"9","Distal restoration",5,317,NA
"< blank >","Missing",9105,9422,NA
