"PFQ063A.Code.or.Value","PFQ063A.Value.Description","PFQ063A.Count","PFQ063A.Cumulative","PFQ063A.Skip.to.Item"
"10","Arthritis/rheumatism",653,653,NA
"11","Back or neck problem",374,1027,NA
"12","Birth defect",3,1030,NA
"13","Cancer",14,1044,NA
"14","Depression/anxiety/emotional problem",78,1122,NA
"15","Other developmental problem (such as cerebral palsy)",8,1130,NA
"16","Diabetes",56,1186,NA
"17","Fractures, bone/joint injury",140,1326,NA
"18","Hearing problem",24,1350,NA
"19","Heart problem",45,1395,NA
"20","Hypertension/high blood pressure",45,1440,NA
"21","Lung/breathing problem",40,1480,NA
"22","Mental retardation",8,1488,NA
"23","Other injury",29,1517,NA
"24","Senility",5,1522,NA
"25","Stroke problem",24,1546,NA
"26","Vision/problem seeing",22,1568,NA
"27","Weight problem",32,1600,NA
"28","Other impairment/problem",214,1814,NA
"77","Refused",1,1815,NA
"99","Don't know",9,1824,NA
".","Missing",7406,9230,NA
