"DR1MRESP.Code.or.Value","DR1MRESP.Value.Description","DR1MRESP.Count","DR1MRESP.Cumulative","DR1MRESP.Skip.to.Item"
"1","SP",6575,6575,NA
"2","Mother of SP",1575,8150,NA
"3","Father of SP",213,8363,NA
"5","Spouse of SP",14,8377,NA
"6","Child of SP",19,8396,NA
"7","Grandparent of SP",50,8446,NA
"8","Friend, Partner, Non Relative",2,8448,NA
"9","Translator, not a HH member",3,8451,NA
"10","Child care provider, Caretaker",12,8463,NA
"11","Other Relative",40,8503,NA
"77","Refused",0,8503,NA
"99","Don't know",0,8503,NA
".","Missing",1041,9544,NA
