"OHX14RSC.Code.or.Value","OHX14RSC.Value.Description","OHX14RSC.Count","OHX14RSC.Cumulative","OHX14RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #14","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",1,7,NA
"1","occlusal AMALGAM restoration",5,12,NA
"2","facial AMALGAM restoration",2,14,NA
"3","mesial AMALGAM restoration",1,15,NA
"4","distal AMALGAM restoration",0,15,NA
"5","lingual OTHER restoration",0,15,NA
"6","occlusal OTHER restoration",5,20,NA
"7","facial OTHER restoration",0,20,NA
"8","mesial OTHER restoration",1,21,NA
"9","distal OTHER restoration",0,21,NA
"-1","Crown (non-specific full-coverage restoration)",1,22,NA
"< blank >","Missing",9143,9165,NA
