"SMQ621.Code.or.Value","SMQ621.Value.Description","SMQ621.Count","SMQ621.Cumulative","SMQ621.Skip.to.Item"
"1","I have never smoked, not even a puff",832,832,"SMAQUEX2"
"2","1 or more puffs but never a whole cigarette",55,887,"SMAQUEX2"
"3","1 cigarette",12,899,""
"4","2 to 5 cigarettes",22,921,""
"5","6 to 15 cigarettes",9,930,""
"6","16 to 25 cigarettes",10,940,""
"7","26 to 99 cigarettes",6,946,""
"8","100 or more cigarettes",3,949,""
"77","Refused",1,950,"SMAQUEX2"
"99","Don't know",0,950,"SMAQUEX2"
".","Missing",6051,7001,""
