"ALQ142.Code.or.Value","ALQ142.Value.Description","ALQ142.Count","ALQ142.Cumulative","ALQ142.Skip.to.Item"
"0","Never in the last year",2051,2051,"ALQ151"
"1","Every day",34,2085,""
"2","Nearly every day",26,2111,""
"3","3 to 4 times a week",62,2173,""
"4","2 times a week",103,2276,""
"5","Once a week",105,2381,""
"6","2 to 3 times a month",214,2595,""
"7","Once a month",142,2737,""
"8","7 to 11 times in the last year",96,2833,""
"9","3 to 6 times in the last year",235,3068,""
"10","1 to 2 times in the last year",418,3486,""
"77","Refused",2,3488,""
"99","Don't know",7,3495,""
".","Missing",2038,5533,""
